Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0;95.5231;0;0;0.102061;0.496565;21.8626;
0.00333333;95.7507;0;0;0.102061;0.496565;21.8587;
0.00666667;95.8528;0;0;0.102061;0.494603;21.8567;
0.01;95.8803;0;0;0.688911;0.500491;21.8646;
0.0133333;95.8842;0;0;11.3798;0.588812;21.8724;
0.0166667;95.8685;0;0;21.3562;0.602552;21.8803;
0.02;95.8744;0;0;27.2247;0.602552;21.8862;
0.0233333;95.8783;0;0;31.3072;0.614328;21.8901;
0.0266667;95.8665;0;0;34.2669;0.624141;21.894;
0.03;95.843;0;0;34.9813;0.624141;21.8979;
0.0333333;95.8273;0;0;31.052;0.630029;21.9058;
0.0366667;95.8096;0;0;25.4642;0.633955;21.9136;
0.04;95.788;0;0;20.8459;0.633955;21.9235;
0.0433333;95.7704;0;0;17.0442;0.633955;21.9293;
0.0466667;95.7684;0;0;13.9823;0.633955;21.9352;
0.05;95.7547;0;0;11.4308;0.633955;21.9411;
0.0533333;95.6781;0;0;9.3896;0.63788;21.9431;
0.0566667;95.6192;0;0;7.68008;0.63788;21.9392;
0.06;95.6389;0;0;6.96565;0.63788;21.9313;
0.0633333;95.6173;0;0;12.4514;0.639843;21.9097;
0.0666667;95.631;0;0;48.7596;0.834151;21.8999;
0.07;95.6271;0;0;93.105;1.21099;21.892;
0.0733333;95.6526;0;0;141.762;1.421;21.8842;
0.0766667;95.6526;0;0;193.252;1.84495;21.8783;
0.08;95.6663;0;0;239.46;2.36703;21.8744;
0.0833333;95.6447;0;0;278.167;3.11482;21.8685;
0.0866667;95.6683;0;0;305.034;2.80275;21.8646;
0.09;95.686;0;0;317.664;3.12267;21.8626;
0.0933333;95.6938;0;0;325.242;2.83219;21.8587;
0.0966667;95.6899;0;0;326.85;2.82826;21.8567;
0.1;95.686;0;0;329.146;2.59078;21.8567;
0.103333;95.6762;0;0;328.738;2.87733;21.8528;
0.106667;95.6703;0;0;333.101;2.85378;21.8567;
0.11;95.6683;0;0;333.841;3.21884;21.8587;
0.113333;95.6722;0;0;342.822;3.49755;21.8626;
0.116667;95.6683;0;0;348.181;3.32483;21.8646;
0.12;95.682;0;0;352.084;3.91364;21.8665;
0.123333;95.6899;0;0;352.722;3.53876;21.8685;
0.126667;95.6938;0;0;356.141;3.83317;21.8685;
0.13;95.6899;0;0;357.392;3.74289;21.8724;
0.133333;95.686;0;0;360.453;4.2159;21.8744;
0.136667;95.684;0;0;364.51;4.00392;21.8783;
0.14;95.6605;0;0;366.245;4.00981;21.8803;
0.143333;95.6762;0;0;366.296;4.17272;21.8822;
0.146667;95.6644;0;0;368.746;4.63199;21.8842;
0.15;95.6722;0;0;369.664;4.63003;21.8842;
0.153333;95.682;0;0;373.288;4.81845;21.8862;
0.156667;95.6899;0;0;375.967;5.07164;21.8842;
0.16;95.686;0;0;378.595;5.61727;21.8764;
0.163333;95.6899;0;0;377.242;5.24043;21.8567;
0.166667;95.6919;0;0;375.303;5.53091;21.8449;
0.17;95.6644;0;0;376.936;5.67812;21.8351;
0.173333;95.6624;0;0;381.708;5.60157;21.8292;
0.176667;95.6683;0;0;383.978;6.0157;21.8234;
0.18;95.6408;0;0;381.886;6.80471;21.8194;
0.183333;95.6644;0;0;383.289;6.5633;21.8135;
0.186667;95.6742;0;0;377.37;7.0108;21.8116;
0.19;95.6801;0;0;380.483;6.52993;21.8116;
0.193333;95.684;0;0;382.932;7.01668;21.8096;
0.196667;95.684;0;0;385.178;6.49656;21.8076;
0.2;95.6879;0;0;384.999;7.38371;21.8057;
0.203333;95.6762;0;0;385.28;6.70069;21.8076;
0.206667;95.6605;0;0;386.479;7.24828;21.8234;
0.21;95.6703;0;0;394.057;7.30913;21.8449;
0.213333;95.6447;0;0;397.042;7.6683;21.8646;
0.216667;95.6487;0;0;394.363;8.316;21.8803;
0.22;95.6722;0;0;394.542;7.80765;21.8881;
0.223333;95.6722;0;0;391.403;8.13739;21.8979;
0.226667;95.682;0;0;393.011;7.72718;21.9117;
0.23;95.6879;0;0;395.537;8.68499;21.9215;
0.233333;95.6879;0;0;394.006;8.65554;21.9333;
0.236667;95.6762;0;0;393.955;8.80471;21.9431;
0.24;95.6585;0;0;394.108;9.12267;21.947;
0.243333;95.6605;0;0;395.715;9.22277;21.9568;
0.246667;95.6762;0;0;397.859;10.3317;21.9627;
0.25;95.682;0;0;398.42;9.54269;21.9666;
0.253333;95.7076;0;0;394.21;10.2846;21.9686;
0.256667;95.739;0;0;394.593;9.92738;21.9647;
0.26;95.7704;0;0;393.547;10.9441;21.9647;
0.263333;95.7861;0;0;396.966;11.5466;21.9627;
0.266667;95.8037;0;0;398.471;12.4691;21.9627;
0.27;95.8077;0;0;395.562;13.3346;21.9607;
0.273333;95.8194;0;0;396.302;13.6506;21.9588;
0.276667;95.8312;0;0;395.69;14.4161;21.9568;
0.28;95.841;0;0;397.527;13.8469;21.9509;
0.283333;95.843;0;0;398.599;14.5849;21.9431;
0.286667;95.8587;0;0;399.543;13.79;21.9372;
0.29;95.8646;0;0;399.415;13.9313;21.9352;
0.293333;95.8783;0;0;398.828;13.7233;21.9293;
0.296667;95.8783;0;0;400.359;14.4122;21.9274;
0.3;95.8685;0;0;402.12;14.4416;21.9235;
0.303333;95.8646;0;0;402.655;14.7046;21.9352;
0.306667;95.8528;0;0;399.262;15.1109;21.9509;
0.31;95.8528;0;0;399.39;14.7988;21.9647;
0.313333;95.8489;0;0;397.323;15.0991;21.9764;
0.316667;95.8567;0;0;399.083;14.5398;21.9843;
0.32;95.8587;0;0;398.675;15.0579;21.9941;
0.323333;95.8705;0;0;398.497;14.2728;22;
0.326667;95.8705;0;0;396.94;14.6025;22.0079;
0.33;95.8724;0;0;398.267;13.8607;22.0216;
0.333333;95.8724;0;0;400.206;14.789;22.0334;
0.336667;95.8567;0;0;402.298;14.6693;22.0412;
0.34;95.8528;0;0;403.268;14.8989;22.0491;
0.343333;95.843;0;0;400.308;15.1698;22.055;
0.346667;95.8548;0;0;400.946;14.6124;22.0589;
0.35;95.8508;0;0;399.874;14.9048;22.0648;
0.353333;95.8646;0;0;401.839;14.3396;22.0648;
0.356667;95.8724;0;0;402.503;14.9225;22.0648;
0.36;95.8822;0;0;400.563;14.2944;22.0667;
0.363333;95.8862;0;0;400.844;14.6241;22.0648;
0.366667;95.8881;0;0;400.716;14.2709;22.0648;
0.37;95.8665;0;0;401.686;14.9696;22.0648;
0.373333;95.8646;0;0;401.711;14.6693;22.0648;
0.376667;95.8606;0;0;401.941;15.0913;22.0648;
0.38;95.8606;0;0;398.599;15.0442;22.0628;
0.383333;95.8567;0;0;399.67;14.8597;22.0608;
0.386667;95.8665;0;0;398.879;14.7478;22.055;
0.39;95.8842;0;0;400.921;14.5574;22.053;
0.393333;95.9038;0;0;401.839;14.9205;22.051;
0.396667;95.9352;0;0;400.538;14.3768;22.051;
0.4;95.9568;0;0;400.078;14.7753;22.0471;
0.403333;95.9607;0;0;399.874;14.2139;22.0491;
0.406667;95.9647;0;0;401.023;14.9853;22.0589;
0.41;95.9725;0;0;401.201;14.4985;22.0667;
0.413333;95.9843;0;0;401.099;15.2718;22.0707;
0.416667;95.9882;0;0;398.139;14.844;22.0765;
0.42;96.0137;0;0;398.726;14.9735;22.0805;
0.423333;96.0275;0;0;399.364;14.7635;22.0824;
0.426667;96.0393;0;0;401.686;14.8577;22.0883;
0.43;96.0491;0;0;402.604;14.8813;22.1021;
0.433333;96.0549;0;0;400.793;14.4887;22.1158;
0.436667;96.0451;0;0;400.665;14.5633;22.1256;
0.44;96.0491;0;0;399.823;14.2453;22.1335;
0.443333;96.0471;0;0;400.436;14.9342;22.1413;
0.446667;96.0569;0;0;400.487;14.577;22.1452;
0.45;96.0569;0;0;400.41;15.3582;22.1492;
0.453333;96.0766;0;0;398.497;14.789;22.1394;
0.456667;96.106;0;0;398.803;15.1364;22.1276;
0.46;96.1158;0;0;400.257;14.7439;22.1178;
0.463333;96.1178;0;0;402.375;14.9244;22.1099;
0.466667;96.1236;0;0;402.707;14.6909;22.1021;
0.47;96.1138;0;0;399.9;14.3651;22.0981;
0.473333;96.1197;0;0;399.594;14.6477;22.0923;
0.476667;96.1197;0;0;398.369;14.3847;22.0923;
0.48;96.1256;0;0;399.798;14.7282;22.0981;
0.483333;96.1256;0;0;398.752;14.5986;22.1001;
0.486667;96.1472;0;0;398.803;14.9421;22.104;
0.49;96.1551;0;0;397.68;14.4436;22.106;
0.493333;96.1629;0;0;397.986;15.2816;22.106;
0.496667;96.1668;0;0;399.747;14.84;22.108;
0.5;96.1668;0;0;401.839;15.5859;22.108;
0.503333;96.1511;0;0;402.477;14.632;22.1099;
0.506667;96.1433;0;0;399.415;14.7812;22.1119;
0.51;96.1335;0;0;400.181;14.1865;22.1119;
0.513333;96.1413;0;0;399.134;14.4357;22.1119;
