Graphics v 0.2.5 ';' exported '2021-12-21 11:41:00'
;Record #2;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0;1.31501;0;0;0.204122;0.459274;22.3356;
0.00333333;0.843965;0;0;0.178606;0.463199;22.3396;
0.00666667;0.559372;0;0;0.153091;0.463199;22.3396;
0.01;0.333661;0;0;0.459274;0.47105;22.3337;
0.0133333;0.16683;0;0;19.5702;0.578999;22.3258;
0.0166667;0.0588812;0;0;60.1649;1.13052;22.318;
0.02;0.0686948;0;0;95.7076;2.16487;22.3121;
0.0233333;0.539745;0;0;144.263;3.03827;22.3062;
0.0266667;1.96271;0;0;181.515;4.60059;22.3023;
0.03;4.86752;0;0;230.938;7.11874;22.3003;
0.0333333;8.61629;0;0;269.16;8.86752;22.2964;
0.0366667;12.4926;0;0;295.441;12.1924;22.2905;
0.04;16.1433;0;0;311.821;12.2807;22.2846;
0.0433333;19.4897;0;0;321.772;13.4544;22.2807;
0.0466667;22.4534;0;0;328.151;14.3101;22.2767;
0.05;25.1325;0;0;323.201;14.5869;22.2748;
0.0533333;27.4289;0;0;327.079;14.8636;22.2728;
0.0566667;29.3425;0;0;323.584;15.5996;22.2708;
0.06;31.1187;0;0;329.912;15.5447;22.2708;
0.0633333;32.5908;0;0;336.648;15.156;22.265;
0.0666667;34.0137;0;0;346.063;15.9961;22.263;
0.07;35.2012;0;0;348.589;15.9607;22.261;
0.0733333;36.2218;0;0;354.738;15.8587;22.2571;
0.0766667;37.105;0;0;349.176;16.2551;22.2551;
0.08;37.8312;0;0;353.615;15.5152;22.2551;
0.0833333;38.4691;0;0;358.285;15.737;22.2512;
0.0866667;39.0579;0;0;362.852;17.1089;22.2571;
0.09;39.5976;0;0;363.235;17.16;22.265;
0.0933333;40.0294;0;0;367.138;17.8489;22.2728;
0.0966667;40.4809;0;0;371.272;17.4151;22.2807;
0.1;40.8243;0;0;375.814;17.7978;22.2846;
0.103333;41.1482;0;0;379.335;17.4053;22.2885;
0.106667;41.4622;0;0;375.66;17.5466;22.2905;
0.11;41.6978;0;0;377.421;16.9225;22.2944;
0.113333;41.9235;0;0;361.831;17.1973;22.2983;
0.116667;42.1394;0;0;367.291;17.3386;22.3023;
0.12;42.2375;0;0;373.517;18.0255;22.3042;
0.123333;42.4338;0;0;380.024;18.1001;22.3062;
0.126667;42.5712;0;0;375.941;17.6133;22.3101;
0.13;42.6791;0;0;374.87;17.2228;22.3121;
0.133333;42.8165;0;0;372.037;17.158;22.3121;
0.136667;42.895;0;0;380.049;17.6055;22.3219;
0.14;42.9931;0;0;387.806;17.5937;22.3297;
0.143333;43.1305;0;0;388.29;17.4897;22.3356;
0.146667;43.2483;0;0;391.888;19.054;22.3415;
0.15;43.3562;0;0;390.485;18.4161;22.3474;
0.153333;43.4544;0;0;395.001;19.2188;22.3494;
0.156667;43.5329;0;0;398.701;18.0393;22.3533;
0.16;43.6408;0;0;396.838;19.2758;22.3611;
0.163333;43.6997;0;0;397.884;18.1374;22.371;
0.166667;43.7291;0;0;391.225;18.738;22.3788;
0.17;43.8371;0;0;393.342;17.6389;22.3827;
0.173333;43.8567;0;0;395.945;18.3003;22.3886;
0.176667;43.9058;0;0;396.098;19.2306;22.3925;
0.18;43.9254;0;0;395.154;18.5378;22.3965;
0.183333;43.9843;0;0;394.236;19.4073;22.4043;
0.186667;44.0334;0;0;397.91;18.2198;22.4122;
0.19;44.0628;0;0;400.232;18.8165;22.42;
0.193333;44.1021;0;0;401.941;18.8126;22.4259;
0.196667;44.1708;0;0;398.063;18.1511;22.4318;
0.2;44.21;0;0;398.675;19.1619;22.4377;
0.203333;44.21;0;0;399.007;19.0932;22.4377;
0.206667;44.2394;0;0;400.921;19.3386;22.4416;
0.21;44.2689;0;0;402.834;18.5731;22.4436;
0.213333;44.3278;0;0;399.619;18.5358;22.4455;
0.216667;44.3572;0;0;400.997;17.9195;22.4475;
0.22;44.3376;0;0;398.139;17.8783;22.4475;
0.223333;44.3474;0;0;399.977;18.0334;22.4475;
0.226667;44.4357;0;0;401.023;17.894;22.4495;
0.23;44.4161;0;0;400.589;19.2071;22.4495;
0.233333;44.4357;0;0;400.283;18.7125;22.4495;
0.236667;44.4652;0;0;399.823;18.9774;22.4455;
0.24;44.5044;0;0;402.12;18.3023;22.4455;
0.243333;44.5142;0;0;403.472;18.212;22.4416;
0.246667;44.5437;0;0;404.34;19.0226;22.4436;
0.25;44.5339;0;0;398.726;18.4652;22.4416;
0.253333;44.5731;0;0;398.165;19.0147;22.4396;
0.256667;44.6026;0;0;395.511;18.371;22.4396;
0.26;44.6026;0;0;398.114;19.1796;22.4396;
0.263333;44.6124;0;0;401.227;18.5456;22.4377;
0.266667;44.6222;0;0;399.466;18.4573;22.4377;
0.27;44.632;0;0;400.64;18.1099;22.4357;
0.273333;44.6418;0;0;399.645;17.8842;22.4357;
0.276667;44.6222;0;0;401.737;18.4789;22.4338;
0.28;44.6909;0;0;401.89;18.3003;22.4338;
0.283333;44.6909;0;0;402.63;19.2758;22.4318;
0.286667;44.7301;0;0;398.803;18.8557;22.4298;
0.29;44.7007;0;0;398.369;18.9441;22.4279;
0.293333;44.7399;0;0;399.16;18.5437;22.4259;
0.296667;44.7301;0;0;401.456;18.2453;22.4239;
0.3;44.7498;0;0;402.962;19.1266;22.4239;
0.303333;44.7596;0;0;399.032;18.3219;22.422;
0.306667;44.7694;0;0;399.823;18.7105;22.422;
0.31;44.7792;0;0;397.17;18.4259;22.422;
0.313333;44.789;0;0;399.185;19.1992;22.422;
0.316667;44.7694;0;0;400.971;18.8577;22.422;
0.32;44.7596;0;0;398.752;18.3101;22.422;
0.323333;44.7596;0;0;400.002;18.0648;22.422;
0.326667;44.7596;0;0;396.711;17.6919;22.4239;
0.33;44.7694;0;0;399.262;18.2139;22.4259;
0.333333;44.8381;0;0;399.517;17.9058;22.4318;
0.336667;44.8283;0;0;400.665;18.9441;22.4396;
0.34;44.8381;0;0;396.251;19.1325;22.4455;
0.343333;44.8577;0;0;397.17;18.6654;22.4495;
0.346667;44.8185;0;0;397.961;18.5221;22.4554;
0.35;44.8871;0;0;402.069;17.8253;22.4573;
0.353333;44.9068;0;0;403.727;19.1776;22.4612;
0.356667;44.9068;0;0;400.997;18.6379;22.4691;
0.36;44.9166;0;0;400.716;19.0226;22.4848;
0.363333;44.897;0;0;398.573;19.2306;22.4946;
0.366667;44.9068;0;0;400.538;18.6006;22.5025;
0.37;44.9656;0;0;399.721;19.0697;22.5123;
0.373333;44.9558;0;0;399.211;18.0942;22.5162;
0.376667;44.9853;0;0;399.185;18.4828;22.5221;
0.38;44.9656;0;0;399.032;18.1256;22.5299;
0.383333;44.9951;0;0;401.482;18.8577;22.5397;
0.386667;44.9951;0;0;402.069;19.1737;22.5476;
0.39;45.0049;0;0;402.094;18.4573;22.5535;
0.393333;45.0049;0;0;398.369;19.1384;22.5594;
0.396667;45.0147;0;0;398.777;17.8449;22.5653;
0.4;45.0245;0;0;398.522;18.3396;22.5672;
0.403333;45.0245;0;0;401.609;17.9804;22.5711;
0.406667;45.0344;0;0;403.804;18.6281;22.5731;
0.41;45.0638;0;0;402.196;19.3268;22.577;
0.413333;45.0736;0;0;402.171;18.685;22.577;
0.416667;45.0245;0;0;399.39;19.2934;22.579;
0.42;45.0834;0;0;399.925;18.2022;22.579;
0.423333;45.0638;0;0;400.078;18.8577;22.581;
0.426667;45.103;0;0;400.334;18.3062;22.581;
0.43;45.0736;0;0;399.339;18.5515;22.5731;
0.433333;45.0932;0;0;398.803;18.7556;22.5613;
0.436667;45.0834;0;0;400.206;18.7183;22.5535;
0.44;45.0638;0;0;402.324;19.3562;22.5476;
0.443333;45.1129;0;0;403.242;18.4671;22.5417;
0.446667;45.103;0;0;400.053;19.0285;22.5378;
0.45;45.103;0;0;400.793;17.9313;22.5339;
0.453333;45.1521;0;0;398.139;18.2395;22.528;
0.456667;45.1129;0;0;400.129;17.8881;22.5182;
0.46;45.1227;0;0;401.201;18.2866;22.5123;
0.463333;45.1325;0;0;400.895;19.2895;22.5044;
0.466667;45.1423;0;0;400.946;18.5358;22.5005;
0.47;45.1619;0;0;399.925;19.1345;22.4966;
0.473333;45.1423;0;0;401.329;18.2198;22.4907;
0.476667;45.1521;0;0;401.125;18.7596;22.4907;
0.48;45.1619;0;0;400.691;18.5535;22.4907;
0.483333;45.1423;0;0;397.144;18.2787;22.4946;
0.486667;45.1717;0;0;397.859;18.8047;22.4926;
0.49;45.1815;0;0;398.828;18.5397;22.4926;
0.493333;45.1815;0;0;401.916;19.4504;22.4966;
0.496667;45.2012;0;0;403.293;18.5064;22.4966;
0.5;45.211;0;0;399.772;18.9657;22.4966;
0.503333;45.2012;0;0;400.002;18.0648;22.4985;
0.506667;45.2012;0;0;397.808;18.2532;22.4985;
0.51;45.1914;0;0;399.747;17.8705;22.5025;
0.513333;45.211;0;0;400.461;18.0962;22.5025;
